gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000239275,0,0,0,0,0,0,0,0,0,0,0,63
ENSG00000271329,1,4,0,3,1,0,3,8,31,6,0,0
ENSG00000178028,1394,1507,1031,1137,1707,1312,697,3014,924,2274,1828,1331
ENSG00000117419,1760,1503,1869,2225,1363,1961,880,3007,1880,1112,1372,2007
ENSG00000233602,3,3,3,6,2,2,6,2,0,12,85,0
ENSG00000252146,0,0,0,0,0,0,0,0,24,0,0,57
ENSG00000187147,1441,1785,1721,1770,2225,1578,720,892,1609,885,2130,1717
ENSG00000126106,184,171,201,178,207,187,368,86,171,89,131,182
ENSG00000198520,112,51,117,68,269,97,224,103,67,34,172,58
ENSG00000199377,1,0,0,0,4,1,3,1,50,0,16,0
ENSG00000200169,0,0,0,1,1,0,0,0,133,0,71,0
ENSG00000142945,2439,971,3547,3904,305,2962,4878,1942,3694,1952,275,2827
ENSG00000225721,4,2,8,4,1,9,2,5,0,2,0,27
ENSG00000142937,11259,10167,15738,16787,6657,14168,22518,5084,15734,8394,6669,14239
ENSG00000200913,7,13,11,7,4,13,4,27,0,14,14,10
ENSG00000202031,10,8,12,10,14,10,5,16,11,5,123,0
ENSG00000234093,1,0,2,2,0,0,0,1,86,1,24,0
ENSG00000142959,10,5,18,6,20,12,5,2,0,13,0,3
ENSG00000173846,417,1347,425,337,654,672,208,2694,570,169,751,751
ENSG00000188396,6,74,9,2,20,15,13,149,0,5,143,96
ENSG00000222009,102,832,226,103,601,285,204,1664,285,52,562,397
ENSG00000117425,103,95,45,451,201,485,207,48,34,903,270,586
ENSG00000226499,0,0,0,0,1,1,0,0,0,0,20,15
ENSG00000070785,632,719,524,642,529,727,1264,360,613,1285,459,606
ENSG00000266294,0,0,0,0,0,0,0,0,134,0,77,130
ENSG00000229815,0,0,0,0,0,0,0,0,67,0,0,29
ENSG00000232369,1,0,0,2,1,2,0,1,138,5,0,0
ENSG00000268949,1,1,1,1,1,1,1,2,0,1,124,78
ENSG00000126107,831,1239,766,609,944,822,1663,620,801,304,1058,720
