"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000215833",20.3793711327372,22.0335447060521,3.00460651510312,7.33325465257997,2.24629523302489e-13,4.38027570439854e-11,"up"
"ENSG00000233691",14.2808779875352,21.5336875037634,3.00521736877489,7.16543426359267,7.75403580353438e-13,5.90586702626752e-11,"up"
"ENSG00000072694",13.6520811429075,21.4690098734806,3.00531179493147,7.14368802255012,9.08594927118079e-13,5.90586702626752e-11,"up"
"ENSG00000235736",15.337673198149,20.2643957139743,3.00507781397881,6.74338468698207,1.54738794393075e-11,7.54351622666241e-10,"up"
"ENSG00000200327",16.5341999975952,20.1639881540893,3.00493878175146,6.71028251109214,1.9424796617952e-11,7.57567068100126e-10,"up"
"ENSG00000224985",29.187565456711,6.08097002729468,1.1483145725885,5.29556114017357,1.18651485461152e-07,3.85617327748745e-06,"up"
"ENSG00000132693",28.5109611405736,7.27837340538516,1.39643284544624,5.21211845533419,1.8669626924737e-07,5.20082464331959e-06,"up"
"ENSG00000224837",32.60004439251,4.62103116078465,1.06746962837387,4.3289579749675,1.49816515947456e-05,0.000365177757621923,"up"
"ENSG00000273075",49.6400990628532,3.62988162594355,0.849567977463985,4.27262058155604,1.93189021993088e-05,0.000391723490185294,"up"
"ENSG00000225272",34.8990511779345,8.05597722077364,1.88934205573951,4.26390615521467,2.00883841120663e-05,0.000391723490185294,"up"
"ENSG00000158731",23.7552539390504,7.98561148752738,1.93049689759916,4.13655753472516,3.52554987791861e-05,0.000624983841994663,"up"
"ENSG00000225279",23.0315733328762,5.21796175521681,1.29356199538521,4.03379333486289,5.4883592135095e-05,0.000823253882026425,"up"
"ENSG00000233411",26.8249840379367,7.67519751416992,1.90028472130795,4.03897238561554,5.36858844026717e-05,0.000823253882026425,"up"
"ENSG00000227094",30.2717771412436,8.33516840803527,2.08685150454597,3.99413585004876,6.4930629069486e-05,0.000904390904896412,"up"
"ENSG00000117091",26.9169125116166,8.16588868689326,2.10698593380431,3.87562562990118,0.000106351090953032,0.00138256418238941,"up"
"ENSG00000252262",27.1706954963988,8.17945550011695,2.12902073163467,3.84188626187624,0.000122092413105471,0.00141780063971854,"up"
"ENSG00000230175",29.7769262710721,7.34129205629431,1.91235882887597,3.83886744759577,0.000123603132693412,0.00141780063971854,"up"
"ENSG00000212161",31.8086267980097,8.40668375587853,2.26878256409465,3.70537216255149,0.000211080571303892,0.0022867061891255,"up"
"ENSG00000236206",23.0553495329959,6.96971763886166,1.90939871515117,3.65021594680912,0.000262019929141621,0.00268915190434822,"up"
"ENSG00000269887",32.1783038893896,4.81360311331308,1.32827840223823,3.62394141559622,0.000290147353072481,0.00282893669245669,"up"
"ENSG00000238022",19.2485936681326,7.19492351606301,2.00824235050493,3.58269683649187,0.000340065192898188,0.00315774821976889,"up"
"ENSG00000272668",22.386668715257,4.67175272232965,1.33673122486562,3.49490805288797,0.000474225093951879,0.00420335878730075,"up"
"ENSG00000143226",20.4900100466801,6.32048544312486,1.81604208444901,3.48036287112945,0.000500735081795972,0.00424536265000932,"up"
"ENSG00000231100",18.2052167963975,6.62600974559525,1.91240917875745,3.46474479373727,0.000530734869583763,0.00431222081536808,"up"
"ENSG00000229588",18.4815359257085,7.13531538226182,2.08167649780267,3.42767735034408,0.000608768519704472,0.00474839445369488,"up"
"ENSG00000201608",16.3312517461781,7.44489544378946,2.22272078063991,3.34945149594818,0.000809717314273266,0.00607287985704949,"up"
"ENSG00000207082",26.9451491312986,7.68165670891105,2.36780165912646,3.24421459850864,0.0011777497776769,0.0085059706165554,"up"
"ENSG00000238087",16.9799199257893,7.50096667863087,2.38934174904393,3.13934441635748,0.00169326303666537,0.0117923675767767,"up"
"ENSG00000122224",15.0462721350441,7.32680402943077,2.37440812324758,3.08573911860173,0.00203046887290671,0.0136531527660969,"up"
"ENSG00000243284",23.1681303174741,4.34581491785639,1.42473467641213,3.05026261366806,0.00228641347202503,0.0144700657465209,"up"
"ENSG00000237409",19.178708659664,6.22423995235714,2.04178231611999,3.04843464615028,0.00230036942636999,0.0144700657465209,"up"
"ENSG00000266144",21.4073038499793,7.34876791197784,2.43307090450884,3.02036734661513,0.0025246827371068,0.0151380023305122,"up"
"ENSG00000213070",24.0186050623032,5.08908153582024,1.68739325141113,3.01594280501261,0.00256181577900976,0.0151380023305122,"up"
"ENSG00000265589",12.8835759476149,6.12114356309201,2.05694481681906,2.97584238188655,0.00292184991834388,0.015826687057696,"up"
"ENSG00000270149",24.9990473602656,4.71665893777382,1.58435024928986,2.97703045137142,0.00291055099744343,0.015826687057696,"up"
"ENSG00000224702",34.9688913575097,7.12692845215698,2.3857289581377,2.98731690699696,0.00281437817163222,0.015826687057696,"up"
"ENSG00000232892",22.7232180812906,5.00440978891762,1.68813625122122,2.96445845843151,0.00303216178866758,0.0159803121294643,"up"
"ENSG00000201987",22.1370454477195,7.88377745214874,2.69705566852384,2.92310520103714,0.00346559404050821,0.0177839694183974,"up"
"ENSG00000222552",12.640681900934,7.07513919144673,2.52785354950044,2.79887226569947,0.00512814192616247,0.0249996918900421,"up"
"ENSG00000258465",15.2280801538565,5.45119395103561,1.9440052212812,2.80410458334211,0.00504565355186734,0.0249996918900421,"up"
"ENSG00000235101",19.2556269454293,7.68240852721396,2.75421417180892,2.78932866072949,0.00528174354393198,0.0251204875869936,"up"
"ENSG00000158714",24.0556819249982,4.63723839382628,1.68822904974173,2.74680642092712,0.00601786418891838,0.0260210423131538,"up"
"ENSG00000269620",19.6463553229058,7.71156259005621,2.79630084934416,2.75777285976395,0.00581966206550154,0.0260210423131538,"up"
"ENSG00000232879",15.9959467401491,6.43834325911205,2.34950235269363,2.74030083508139,0.00613829716105166,0.0260210423131538,"up"
"ENSG00000162747",18.1581898961713,7.5981215740624,2.7643428405574,2.7486176687586,0.00598471493870519,0.0260210423131538,"up"
"ENSG00000198574",19.7818489370186,7.72153760903993,2.81365009450525,2.74431338286137,0.00606376203113955,0.0260210423131538,"up"
"ENSG00000232194",21.6337834416325,7.97177282383122,2.93512335716428,2.71599243158659,0.00660774285751259,0.027415103344999,"up"
"ENSG00000249730",20.4911242968515,7.91069538336881,2.94879909899998,2.68268373591526,0.00730340210200397,0.0296700710393911,"up"
"ENSG00000225755",17.0506590883925,7.50694452595388,2.82663832620693,2.6557853038197,0.00791239712417594,0.0314881110043736,"up"
"ENSG00000226292",11.8359569172086,5.51643285793292,2.09206490634635,2.63683638170051,0.00836831844113276,0.0326364419204178,"up"
"ENSG00000237756",15.9666664615554,5.9247337368758,2.27916208473948,2.5995227704716,0.00933534848136123,0.0356939794875576,"up"
"ENSG00000143196",19.6299630767487,6.73611629590869,2.60836863625609,2.58250164577096,0.00980868943656397,0.0367825853871149,"up"
"ENSG00000213075",15.0921881484928,7.33090291898465,2.87345679336827,2.55124870361852,0.0107337699700258,0.0394921725312268,"up"
"ENSG00000181036",14.222191145234,7.24520654096601,2.9176925377285,2.48319740592222,0.0130208907387228,0.0455887478598761,"up"
"ENSG00000162723",21.977052679056,4.37003458667131,1.75213244541772,2.49412343119385,0.0126268627271624,0.0455887478598761,"up"
"ENSG00000263548",15.4631716789964,7.36608776010456,2.97627198498095,2.474937706391,0.0133259416821176,0.0455887478598761,"up"
