gene,orig1,orig2,orig3,orig4,orig5,orig6,pred1,pred2,pred3,pred4,pred5,pred6
ENSG00000135870,1083,1492,920,1001,1422,1027,2166,2984,1054,965,2845,965
ENSG00000200755,0,0,0,0,0,0,1,0,38,0,0,0
ENSG00000236535,1,2,0,0,0,0,2,4,0,50,0,65
ENSG00000224977,0,3,0,3,2,2,1,7,0,51,4,0
ENSG00000227373,3,1,0,2,1,4,2,0,0,12,1,78
ENSG00000152061,976,757,312,551,925,506,1953,379,407,501,463,578
ENSG00000237317,0,0,0,0,0,0,0,0,44,15,0,0
ENSG00000203737,4,0,0,2,1,6,8,0,0,73,1,0
ENSG00000223828,0,1,0,0,0,0,0,0,0,66,0,91
ENSG00000231378,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237249,0,0,0,1,0,0,0,0,2,0,0,0
ENSG00000223525,0,0,0,0,0,0,0,0,130,43,0,96
ENSG00000235869,0,0,0,0,0,0,1,1,49,0,0,0
ENSG00000229531,1,1,1,0,1,0,0,1,148,0,1,0
ENSG00000252552,0,0,0,0,1,1,1,0,0,0,0,85
ENSG00000116161,1665,1147,1322,1781,732,1322,3330,574,1293,1728,1464,1393
ENSG00000120333,846,644,790,985,648,821,1693,1289,860,1024,1297,825
ENSG00000206659,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000181101,9,1,4,2,0,10,18,1,0,49,0,57
ENSG00000120332,40,15,30,33,5,80,20,31,58,127,2,213
ENSG00000235750,8,43,37,13,8,10,16,22,110,3,16,42
ENSG00000116147,60,64,1,10,66,38,30,128,138,0,33,123
ENSG00000224718,0,0,0,0,1,0,0,0,80,0,2,45
ENSG00000227740,26,16,19,14,38,9,13,8,0,154,77,0
ENSG00000230777,4,4,4,3,5,1,9,2,0,31,2,150
ENSG00000143207,1409,1257,1755,1524,1692,1347,2819,2515,1902,1631,3384,1449
ENSG00000252906,0,0,0,0,0,0,1,0,0,0,0,128
ENSG00000228686,1,1,4,3,1,2,1,1,43,0,1,113
ENSG00000236021,6,5,5,3,7,3,13,2,0,0,4,0
ENSG00000232463,0,0,0,0,1,0,1,0,0,42,3,149
ENSG00000227815,2,4,4,0,3,0,4,2,21,136,2,0
ENSG00000225904,0,0,0,0,0,0,0,0,65,0,0,0
ENSG00000116183,109,1929,443,13,2035,81,218,3859,497,118,1018,0
ENSG00000237514,0,0,0,0,0,0,0,0,56,0,0,48
ENSG00000152092,1855,870,1395,1806,2137,1377,3711,1740,1260,1732,1068,1237
ENSG00000198797,228,61,104,28,317,167,456,123,236,87,158,171
ENSG00000224968,0,0,0,0,0,0,1,0,42,0,0,0
ENSG00000227579,1,0,0,0,1,0,0,0,16,143,0,0
ENSG00000120341,4,15,1,1,1,2,9,31,40,136,3,36
ENSG00000254154,4,26,5,2,4,3,8,13,0,0,9,152
ENSG00000242193,5,88,83,3,15,5,10,177,77,0,31,0
ENSG00000224687,31,25,41,13,20,22,63,51,82,0,10,115
ENSG00000075391,2290,2601,2344,2178,3619,1815,4581,5203,2299,2273,7238,1727
ENSG00000270575,0,0,0,0,0,1,0,0,0,119,0,102
ENSG00000213058,554,1,750,861,0,6,277,2,784,869,0,129
ENSG00000260938,22,9,18,9,26,10,11,18,66,0,52,145
ENSG00000240021,0,1,2,0,0,0,0,2,60,0,0,0
ENSG00000213057,7,8,4,5,8,2,4,4,0,58,17,32
ENSG00000201347,2,0,0,0,0,0,1,0,0,0,0,0
ENSG00000273384,2,3,7,2,2,4,4,7,44,0,1,0
ENSG00000273062,10,22,9,6,5,6,5,45,0,9,11,18
ENSG00000116191,1541,1819,2094,1588,1063,1240,3082,3638,2140,1693,532,1333
ENSG00000228196,0,0,0,0,1,1,0,0,0,29,3,0
ENSG00000116194,95,14,53,6,40,120,48,29,36,0,81,51
ENSG00000116199,2218,2173,2477,2089,1800,2364,4436,1087,2418,2042,900,2283
ENSG00000232750,1,0,0,4,1,2,2,0,28,0,1,0
ENSG00000186283,650,925,626,780,463,662,1301,1851,477,680,232,590
ENSG00000143322,1439,4880,1467,1350,2269,1669,2879,9760,1445,1388,1134,1561
ENSG00000234041,0,0,0,0,0,0,0,1,66,123,0,59
ENSG00000231905,2,1,0,0,0,2,1,2,122,0,1,121
ENSG00000212338,0,0,0,0,0,0,0,0,0,0,0,38
ENSG00000231564,1,0,0,0,0,0,2,0,139,113,0,0
ENSG00000225711,1,1,0,1,1,1,1,0,0,3,2,3
ENSG00000223794,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000057252,1010,2144,932,1329,831,1094,2020,4289,1864,2659,416,2188
ENSG00000162779,5,4,6,9,14,9,11,8,13,5,7,5
ENSG00000236539,6,3,2,8,1,6,13,2,1,17,3,13
ENSG00000269064,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000261250,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116218,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227141,1,4,1,0,2,2,2,2,1,0,4,1
ENSG00000261060,7,10,6,0,0,0,14,21,3,0,0,0
ENSG00000162782,1,2,0,1,2,2,2,1,0,3,4,5
ENSG00000143340,11,2,2,4,1,3,22,1,1,8,3,2
ENSG00000229407,1,0,0,0,0,0,2,0,0,0,1,0
ENSG00000231966,1,1,2,0,2,0,2,3,1,0,5,0
ENSG00000169905,1168,1910,1287,959,1594,1185,584,3821,2574,480,3188,2370
ENSG00000272906,9,9,8,10,7,3,4,19,17,21,4,2
ENSG00000143337,558,1159,766,539,804,602,279,580,383,270,1609,301
ENSG00000264916,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261831,0,1,0,0,0,0,0,2,0,0,0,0
ENSG00000260360,2,9,2,4,3,5,4,5,4,8,7,10
ENSG00000135837,2099,1642,1921,2299,1827,1863,1050,3285,961,4598,3654,932
ENSG00000235145,2,0,1,1,1,0,1,0,3,3,2,0
ENSG00000223450,1,0,0,0,0,4,3,1,1,0,0,2
ENSG00000116260,1447,5306,1492,1115,2247,1368,2894,10612,746,558,4495,684
ENSG00000121454,206,151,104,132,172,129,103,76,209,265,345,258
ENSG00000230124,333,246,165,190,440,239,167,493,83,380,881,120
ENSG00000135847,1099,1106,1222,1198,790,1203,550,553,2444,2397,395,2407
ENSG00000235060,1,0,0,1,0,0,3,0,1,2,1,0
ENSG00000236719,0,1,2,0,0,0,0,0,4,0,0,0
ENSG00000143324,6941,4631,8226,4660,15957,5166,3471,2316,4113,2330,31915,2583
ENSG00000266825,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000225857,2,0,2,2,6,1,4,1,1,4,3,1
