"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000232463",18.0591172404194,7.01837913139424,2.16991407892139,3.23440416354314,0.00121896822776156,0.0161513290178407,"up"
"ENSG00000120341",22.8957453721937,3.33962433668803,1.00452904941305,3.32456720752813,0.000885558866554123,0.0161513290178407,"up"
"ENSG00000234041",21.5990900454959,7.76521298915464,2.22497478476296,3.49002291726282,0.000482979127113241,0.0161513290178407,"up"
"ENSG00000231905",23.4103133163652,5.69565429475684,1.72354915200294,3.30460798761549,0.000951093279779931,0.0161513290178407,"up"
"ENSG00000223525",24.4755907760257,7.94558889265013,2.54380171401541,3.12350952862122,0.00178708078681227,0.01894305634021,"up"
"ENSG00000231564",21.9011167096871,7.29892874781507,2.4118443969875,3.02628509406816,0.00247578745233327,0.0218694558289439,"up"
"ENSG00000270575",19.4311673640642,7.69783268719686,2.80045702078248,2.74877729958734,0.00598180129755469,0.0452907812529141,"up"
"ENSG00000236535",10.8795653192253,5.33625487044658,1.98361253475169,2.69016996866002,0.0071415635044863,0.0473128582172218,"up"
"ENSG00000224718",11.8435424312924,6.40587781187405,2.49054088564647,2.57208297554661,0.0101088660549209,0.0487063546282554,"up"
"ENSG00000230777",19.5585562832735,3.23360738529592,1.25355577696093,2.57954807015876,0.00989296886724886,0.0487063546282554,"up"
"ENSG00000228686",16.0697621915726,3.74946644116511,1.42630866266918,2.62879034482508,0.00856891715827297,0.0487063546282554,"up"
