Approved symbol,Approved name,Status,Chromosome,Ensembl gene ID,Mitochondria,chr,arm,pos
EMBP1,embigin pseudogene 1,Approved,1p11.2,ENSG00000231752,no,01,p,11.2
FAM72B,family with sequence similarity 72 member B,Approved,1p11.2,ENSG00000188610,no,01,p,11.2
FCGR1BP,"Fc gamma receptor Ib, pseudogene",Approved,1p11.2,ENSG00000198019,no,01,p,11.2
H2BP1,H2B histone pseudogene 1,Approved,1p11.2,ENSG00000223345,no,01,p,11.2
H3P4,H3 histone pseudogene 4,Approved,1p11.2,ENSG00000213244,no,01,p,11.2
LINC00623,long intergenic non-protein coding RNA 623,Approved,1p11.2,ENSG00000226067,no,01,p,11.2
LINC01691,long intergenic non-protein coding RNA 1691,Approved,1p11.2,ENSG00000224857,no,01,p,11.2
LINC02798,long intergenic non-protein coding RNA 2798,Approved,1p11.2,ENSG00000227082,no,01,p,11.2
MTIF2P1,mitochondrial translational initiation factor 2 pseudogene 1,Approved,1p11.2,ENSG00000233432,no,01,p,11.2
NBPF8,NBPF member 8,Approved,1p11.2,ENSG00000270231,no,01,p,11.2
NBPF26,NBPF member 26,Approved,1p11.2,ENSG00000273136,no,01,p,11.2
NOTCH2NLR,notch 2 N-terminal like R (pseudogene),Approved,1p11.2,ENSG00000286106,no,01,p,11.2
PDE4DIPP2,PDE4DIP pseudogene 2,Approved,1p11.2,ENSG00000275131,no,01,p,11.2
PDE4DIPP4,PDE4DIP pseudogene 4,Approved,1p11.2,ENSG00000275585,no,01,p,11.2
PFN1P2,profilin 1 pseudogene 2,Approved,1p11.2,ENSG00000270392,no,01,p,11.2
PPIAL4A,peptidylprolyl isomerase A like 4A,Approved,1p11.2,ENSG00000263353,no,01,p,11.2
RNU6-465P,"RNA, U6 small nuclear 465, pseudogene",Approved,1p11.2,ENSG00000207149,no,01,p,11.2
RPL22P6,ribosomal protein L22 pseudogene 6,Approved,1p11.2,ENSG00000268993,no,01,p,11.2
SRGAP2-AS1,SRGAP2 antisense RNA 1,Approved,1p11.2,ENSG00000230806,no,01,p,11.2
SRGAP2C,SLIT-ROBO Rho GTPase activating protein 2C,Approved,1p11.2,ENSG00000171943,no,01,p,11.2
ADAM30,ADAM metallopeptidase domain 30,Approved,1p12,ENSG00000134249,no,01,p,12
GAPDHP23,glyceraldehyde 3 phosphate dehydrogenase pseudogene 23,Approved,1p12,ENSG00000235595,no,01,p,12
GAPDHP27,glyceraldehyde 3 phosphate dehydrogenase pseudogene 27,Approved,1p12,ENSG00000239873,no,01,p,12
GAPDHP32,glyceraldehyde 3 phosphate dehydrogenase pseudogene 32,Approved,1p12,ENSG00000226443,no,01,p,12
GAPDHP33,glyceraldehyde 3 phosphate dehydrogenase pseudogene 33,Approved,1p12,ENSG00000240244,no,01,p,12
GAPDHP58,glyceraldehyde 3 phosphate dehydrogenase pseudogene 58,Approved,1p12,ENSG00000229570,no,01,p,12
GAPDHP74,glyceraldehyde-3-phosphate dehydrogenase pseudogene 74,Approved,1p12,ENSG00000232780,no,01,p,12
GDAP2,ganglioside induced differentiation associated protein 2,Approved,1p12,ENSG00000196505,no,01,p,12
HAO2,hydroxyacid oxidase 2,Approved,1p12,ENSG00000116882,no,01,p,12
HAO2-IT1,HAO2 intronic transcript 1,Approved,1p12,ENSG00000230921,no,01,p,12
HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,Approved,1p12,ENSG00000134240,no,01,p,12
HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",Approved,1p12,ENSG00000203857,no,01,p,12
HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",Approved,1p12,ENSG00000203859,no,01,p,12
HSD3BP1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 1",Approved,1p12,ENSG00000187481,no,01,p,12
HSD3BP2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 2",Approved,1p12,ENSG00000203858,no,01,p,12
HSD3BP3,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 3",Approved,1p12,ENSG00000249798,no,01,p,12
HSD3BP4,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4",Approved,1p12,ENSG00000203855,no,01,p,12
HSD3BP5,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5",Approved,1p12,ENSG00000198857,no,01,p,12
LINC00622,long intergenic non-protein coding RNA 622,Approved,1p12,ENSG00000260941,no,01,p,12
LINC01525,long intergenic non-protein coding RNA 1525,Approved,1p12,ENSG00000235202,no,01,p,12
LINC01780,long intergenic non-protein coding RNA 1780,Approved,1p12,ENSG00000232650,no,01,p,12
MAN1A2,mannosidase alpha class 1A member 2,Approved,1p12,ENSG00000198162,no,01,p,12
NBPF7P,"NBPF member 7, pseudogene",Approved,1p12,ENSG00000215864,no,01,p,12
NOTCH2,notch receptor 2,Approved,1p12,ENSG00000134250,no,01,p,12
NOTCH2P1,notch 2 pseudogene 1,Approved,1p12,ENSG00000226446,no,01,p,12
PFN1P9,profilin 1 pseudogene 9,Approved,1p12,ENSG00000227205,no,01,p,12
PHGDH,phosphoglycerate dehydrogenase,Approved,1p12,ENSG00000092621,no,01,p,12
PNRC2P1,proline rich nuclear receptor coactivator 2 pseudogene 1,Approved,1p12,ENSG00000228217,no,01,p,12
PSMC1P12,"proteasome 26S subunit, ATPase 1 pseudogene 12",Approved,1p12,ENSG00000226126,no,01,p,12
RBMX2P3,RBMX2 pseudogene 3,Approved,1p12,ENSG00000223575,no,01,p,12
REG4,regenerating family member 4,Approved,1p12,ENSG00000134193,no,01,p,12
RNA5SP56,"RNA, 5S ribosomal pseudogene 56",Approved,1p12,ENSG00000222209,no,01,p,12
RNU1-75P,"RNA, U1 small nuclear 75, pseudogene",Approved,1p12,ENSG00000194297,no,01,p,12
RPL6P2,ribosomal protein L6 pseudogene 2,Approved,1p12,ENSG00000227056,no,01,p,12
